school,G1,G2,G3
GP,0,11,11
GP,9,11,11
GP,12,13,12
GP,14,14,14
GP,11,13,13
GP,12,12,13
GP,13,12,13
GP,10,13,13
GP,15,16,17
GP,12,12,13
GP,14,14,14
GP,10,12,13
GP,12,13,12
GP,12,12,13
GP,14,14,15
GP,17,17,17
GP,13,13,14
GP,13,14,14
GP,8,8,7
GP,12,12,12
GP,12,13,14
GP,11,12,12
GP,12,13,14
GP,10,10,10
GP,10,11,10
GP,10,11,12
GP,11,12,12
GP,11,11,11
GP,12,12,13
GP,12,11,12
GP,10,11,11
GP,15,15,15
GP,13,14,15
GP,13,12,12
GP,12,12,12
GP,11,11,11
GP,14,14,14
GP,13,13,13
GP,11,12,12
GP,14,13,12
GP,11,11,10
GP,10,11,11
GP,14,15,15
GP,9,10,10
GP,10,11,11
GP,10,11,11
GP,13,12,13
GP,17,17,17
GP,11,12,13
GP,13,12,12
GP,14,13,13
GP,16,14,16
GP,10,9,9
GP,13,12,12
GP,13,12,13
GP,12,13,12
GP,15,14,15
GP,15,15,16
GP,14,13,14
GP,16,15,16
GP,17,16,16
GP,10,10,16
GP,13,13,10
GP,14,13,13
GP,13,12,12
GP,16,15,16
GP,11,12,12
GP,10,9,10
GP,11,10,11
GP,15,15,15
GP,13,11,11
GP,11,9,10
GP,13,11,11
GP,13,13,14
GP,11,11,11
GP,11,11,11
GP,12,11,11
GP,13,13,13
GP,9,9,10
GP,12,11,11
GP,11,11,12
GP,10,9,9
GP,12,11,11
GP,13,12,13
GP,13,12,12
GP,12,11,12
GP,13,11,11
GP,15,15,15
GP,12,10,11
GP,9,9,10
GP,9,11,11
GP,14,13,13
GP,12,13,12
GP,13,14,14
GP,11,12,12
GP,13,13,13
GP,9,11,11
GP,13,12,12
GP,12,13,13
GP,12,13,13
GP,9,9,8
GP,16,16,16
GP,12,13,12
GP,11,10,10
GP,16,16,16
GP,10,10,10
GP,10,10,10
GP,13,14,14
GP,12,10,11
GP,15,15,14
GP,13,14,14
GP,11,11,11
GP,8,10,10
GP,18,17,18
GP,10,9,10
GP,16,14,14
GP,16,15,16
GP,14,14,15
GP,12,11,11
GP,14,13,14
GP,14,14,14
GP,14,13,13
GP,14,12,13
GP,12,13,13
GP,12,11,11
GP,9,9,9
GP,10,11,11
GP,9,10,11
GP,14,14,15
GP,13,12,13
GP,10,11,12
GP,10,9,8
GP,11,10,11
GP,11,12,13
GP,13,12,12
GP,15,13,14
GP,9,9,11
GP,13,11,11
GP,12,11,11
GP,13,14,15
GP,10,9,10
GP,14,13,13
GP,11,11,12
GP,12,11,11
GP,12,11,11
GP,9,9,10
GP,10,10,10
GP,13,14,14
GP,8,9,9
GP,9,11,11
GP,9,8,9
GP,15,13,13
GP,12,11,11
GP,13,13,13
GP,10,11,11
GP,9,7,6
GP,12,12,12
GP,11,10,10
GP,11,11,11
GP,13,12,13
GP,11,11,11
GP,9,9,8
GP,12,11,11
GP,11,9,0
GP,9,10,10
GP,13,13,13
GP,11,9,11
GP,13,13,13
GP,7,8,8
GP,9,8,10
GP,11,10,11
GP,12,10,11
GP,10,10,1
GP,9,8,10
GP,8,8,9
GP,7,6,8
GP,8,9,10
GP,9,8,8
GP,8,8,8
GP,8,7,8
GP,9,10,11
GP,17,17,18
GP,12,12,13
GP,16,16,17
GP,9,9,10
GP,16,17,18
GP,11,9,10
GP,14,13,13
GP,14,14,15
GP,10,11,11
GP,13,12,14
GP,11,9,10
GP,10,9,11
GP,11,11,13
GP,11,10,11
GP,11,12,13
GP,17,18,17
GP,14,13,14
GP,14,15,16
GP,11,13,14
GP,10,9,11
GP,13,14,16
GP,12,13,14
GP,9,9,10
GP,12,12,13
GP,12,11,12
GP,10,11,12
GP,11,10,10
GP,13,12,12
GP,14,15,16
GP,13,13,14
GP,10,11,12
GP,14,15,16
GP,11,10,11
GP,14,14,15
GP,11,12,12
GP,14,15,15
GP,13,13,13
GP,13,13,13
GP,8,9,8
GP,11,11,12
GP,14,15,15
GP,12,13,13
GP,11,12,12
GP,12,12,12
GP,13,12,12
GP,13,13,13
GP,12,11,11
GP,12,11,11
GP,14,16,15
GP,11,9,10
GP,10,10,10
GP,12,13,13
GP,12,12,13
GP,11,10,11
GP,12,12,12
GP,13,13,14
GP,10,9,10
GP,15,16,16
GP,8,8,8
GP,17,18,17
GP,10,11,11
GP,9,10,11
GP,15,15,16
GP,14,12,12
GP,12,13,13
GP,13,13,13
GP,13,13,14
GP,9,9,9
GP,12,12,12
GP,16,16,16
GP,9,10,10
GP,14,13,13
GP,10,10,10
GP,9,8,10
GP,8,7,7
GP,7,8,8
GP,10,8,9
GP,14,14,15
GP,11,10,10
GP,12,11,11
GP,13,13,13
GP,9,9,8
GP,8,7,8
GP,11,9,10
GP,15,14,15
GP,15,14,14
GP,15,15,15
GP,12,12,12
GP,14,14,15
GP,14,15,15
GP,11,11,12
GP,13,14,15
GP,11,11,11
GP,10,9,10
GP,12,10,11
GP,15,16,16
GP,11,10,11
GP,9,12,13
GP,7,8,5
GP,10,9,10
GP,11,12,11
GP,7,8,7
GP,9,11,10
GP,7,8,6
GP,14,13,12
GP,12,12,13
GP,9,10,10
GP,12,12,13
GP,14,15,17
GP,10,10,11
GP,11,10,11
GP,11,12,14
GP,11,12,14
GP,11,11,13
GP,11,13,14
GP,16,16,16
GP,9,10,10
GP,10,11,12
GP,10,12,12
GP,15,15,15
GP,10,10,11
GP,10,11,12
GP,15,12,13
GP,11,12,13
GP,8,8,9
GP,15,16,16
GP,11,11,14
GP,10,11,12
GP,10,12,14
GP,8,9,10
GP,11,12,12
GP,16,16,16
GP,13,13,13
GP,16,17,18
GP,14,14,15
GP,15,16,16
GP,12,12,12
GP,12,9,10
GP,11,12,12
GP,14,12,13
GP,13,15,15
GP,9,8,10
GP,10,10,10
GP,10,10,11
GP,11,11,10
GP,13,13,13
GP,17,17,18
GP,12,13,13
GP,12,12,14
GP,12,13,14
GP,12,12,12
GP,18,18,18
GP,13,13,14
GP,14,15,15
GP,17,17,17
GP,15,16,16
GP,17,18,18
GP,18,19,19
GP,14,15,15
GP,14,15,15
GP,14,13,13
GP,13,14,14
GP,16,17,17
GP,18,18,17
GP,14,15,15
GP,12,13,13
GP,7,7,8
GP,16,16,16
GP,18,18,18
GP,9,10,11
GP,14,15,15
GP,10,10,11
GP,10,10,11
GP,12,12,15
GP,11,12,14
GP,15,16,17
GP,14,15,17
GP,12,12,15
GP,15,15,17
GP,11,12,14
GP,11,10,10
GP,12,11,13
GP,11,12,14
GP,14,15,17
GP,15,14,17
GP,12,12,13
GP,11,12,14
GP,8,9,11
GP,10,10,11
GP,8,8,9
GP,10,10,10
GP,14,13,13
GP,11,11,10
GP,17,18,17
GP,14,14,15
GP,14,14,14
GP,13,14,13
GP,17,18,17
GP,11,10,10
GP,13,12,13
GP,15,14,15
GP,11,12,11
GP,11,11,12
GP,11,10,10
GP,10,9,10
GP,15,15,15
GP,15,14,15
GP,10,11,12
GP,10,9,12
GP,14,13,14
GP,11,13,14
GP,12,13,15
GP,14,14,15
GP,14,14,16
GP,12,12,13
GP,16,16,17
GP,10,12,14
GP,11,12,14
GP,14,16,17
GP,15,14,17
GP,14,13,14
GP,11,12,13
GP,12,15,15
GP,12,16,16
GP,10,11,11
GP,10,13,13
GP,9,12,12
GP,9,11,12
GP,13,14,15
GP,13,17,17
GP,12,15,15
GP,14,17,17
GP,9,10,10
GP,11,15,15
GP,9,10,11
GP,16,18,18
GP,14,17,17
GP,13,14,14
GP,7,11,11
GP,14,17,17
GP,8,10,10
GP,10,13,13
MS,10,11,11
MS,12,12,12
MS,10,10,10
MS,10,10,11
MS,16,17,17
MS,6,8,9
MS,10,11,11
MS,10,11,11
MS,10,10,10
MS,6,6,7
MS,13,14,14
MS,10,9,11
MS,10,10,10
MS,6,7,8
MS,12,11,12
MS,10,11,12
MS,14,16,16
MS,7,0,0
MS,8,9,9
MS,12,13,14
MS,7,9,8
MS,9,10,11
MS,7,9,9
MS,11,11,11
MS,8,10,9
MS,16,16,17
MS,11,13,13
MS,15,15,15
MS,10,11,11
MS,9,10,11
MS,10,8,8
MS,9,8,8
MS,9,10,9
MS,13,14,15
MS,10,11,11
MS,13,10,13
MS,10,9,10
MS,11,10,11
MS,13,12,14
MS,13,14,14
MS,14,11,12
MS,11,11,11
MS,9,8,8
MS,10,9,11
MS,14,13,14
MS,13,12,13
MS,13,12,13
MS,13,12,12
MS,12,11,12
MS,14,14,16
MS,10,8,10
MS,10,11,11
MS,12,13,14
MS,10,8,8
MS,12,10,11
MS,7,7,8
MS,9,9,10
MS,9,9,10
MS,9,10,11
MS,9,10,9
MS,9,10,11
MS,7,7,8
MS,11,10,11
MS,9,10,10
MS,7,9,10
MS,7,9,9
MS,8,9,10
MS,9,11,10
MS,7,8,9
MS,8,10,10
MS,9,9,10
MS,8,9,9
MS,14,13,13
MS,14,14,14
MS,10,11,10
MS,14,13,14
MS,17,16,16
MS,6,7,7
MS,14,12,13
MS,10,8,9
MS,14,14,14
MS,12,13,13
MS,11,11,11
MS,11,9,10
MS,11,11,10
MS,10,9,9
MS,16,17,18
MS,15,17,17
MS,11,9,10
MS,7,7,7
MS,8,6,8
MS,7,6,7
MS,9,8,10
MS,14,16,16
MS,14,14,15
MS,8,5,8
MS,8,7,0
MS,6,8,8
MS,8,10,10
MS,8,8,8
MS,5,6,6
MS,7,9,8
MS,15,14,16
MS,13,14,14
MS,10,9,10
MS,9,9,9
MS,11,11,11
MS,7,10,9
MS,10,10,10
MS,9,7,8
MS,14,15,16
MS,11,12,12
MS,9,11,10
MS,13,14,14
MS,12,13,12
MS,11,11,11
MS,9,10,10
MS,9,11,11
MS,11,9,11
MS,10,11,12
MS,9,9,8
MS,12,11,12
MS,8,9,8
MS,13,15,16
MS,10,11,11
MS,11,10,11
MS,17,18,18
MS,12,13,13
MS,13,14,13
MS,9,9,10
MS,11,11,12
MS,10,11,10
MS,13,14,13
MS,9,10,11
MS,7,9,10
MS,8,13,10
MS,12,12,13
MS,10,9,10
MS,10,9,10
MS,11,13,12
MS,7,0,0
MS,11,9,10
MS,10,10,9
MS,9,7,9
MS,4,0,0
MS,6,11,9
MS,4,8,8
MS,7,8,8
MS,8,9,9
MS,5,5,7
MS,7,9,10
MS,8,11,10
MS,10,11,10
MS,9,10,11
MS,10,9,11
MS,8,9,10
MS,9,10,9
MS,8,9,10
MS,6,8,8
MS,6,8,7
MS,8,6,0
MS,10,11,11
MS,8,7,8
MS,8,8,0
MS,7,6,8
MS,8,10,9
MS,7,10,10
MS,7,8,7
MS,12,13,14
MS,11,12,13
MS,12,13,14
MS,18,18,18
MS,17,17,17
MS,17,18,18
MS,9,0,0
MS,10,11,11
MS,12,13,14
MS,12,13,14
MS,8,8,10
MS,11,12,13
MS,5,0,0
MS,9,10,10
MS,5,0,0
MS,18,18,18
MS,11,11,12
MS,8,10,11
MS,11,11,12
MS,8,0,0
MS,14,14,15
MS,10,11,11
MS,10,10,10
MS,12,12,12
MS,15,14,15
MS,14,13,14
MS,19,17,18
MS,16,15,15
MS,13,12,13
MS,15,14,15
MS,13,13,13
MS,8,10,9
MS,15,16,16
MS,8,8,9
MS,10,10,10
MS,7,5,0
MS,9,10,10
MS,10,11,12
MS,7,8,9
MS,15,17,17
MS,10,11,12
MS,7,8,9
MS,13,14,14
MS,16,16,16
MS,8,9,9
MS,17,18,19
MS,7,7,0
MS,14,15,16
MS,5,8,0
MS,7,7,0
MS,14,17,15
MS,6,9,11
MS,7,9,10
MS,10,11,10
MS,15,15,16
MS,11,12,9
MS,10,10,10
MS,10,11,11
